year,month,guns_total,guns_total_per_1000.x,guns_total_seas,guns_total_per_1000.y,handgun_share,longgun_share,new_jersey,maryland,georgia,louisiana,mississippi,missouri,dc_handguns_per_100k_national_sales
2000,1,574951.4,2.334,655201.855,2.334,0.3188,0.6743,0.467,0.636,3.065,2.503,2.393,2.71,2.1
2000,2,649111,2.346,658993.73,2.346,0.3184,0.6748,0.473,0.642,3.034,2.491,2.391,2.727,0.5
2000,3,664621.9,2.337,657119.102,2.337,0.3206,0.6724,0.494,0.644,3.072,2.445,2.34,2.668,1
2000,4,552965.2,2.344,659741.789,2.344,0.3194,0.6736,0.513,0.687,3.162,2.6,2.417,2.742,1.5
2000,5,467712.2,2.3,647646.111,2.3,0.3153,0.6771,0.528,0.678,3.088,2.536,2.454,2.739,1.1
2000,6,479248.4,2.321,654212.454,2.321,0.3136,0.6794,0.55,0.651,3.087,2.48,2.473,2.821,0
2000,7,480018.8,2.32,654553.954,2.32,0.3116,0.6816,0.561,0.708,3.112,2.456,2.425,2.711,0.5
2000,8,618566.7,2.28,643850.259,2.28,0.3117,0.6814,0.565,0.678,3.086,2.371,2.356,2.609,0.5
2000,9,735381.6,2.298,649770.353,2.298,0.3126,0.681,0.548,0.677,3.02,2.545,2.429,2.591,0
2000,10,792514.7,2.262,640154.471,2.262,0.3061,0.6873,0.541,0.639,2.981,2.501,2.354,2.661,0
2000,11,860882.1,2.27,642741.54,2.27,0.3106,0.6828,0.552,0.686,3.092,2.491,2.273,2.782,1.6
2000,12,984622.7,2.231,632452.289,2.231,0.3201,0.6729,0.558,0.67,3.121,2.368,2.185,2.608,0
2001,1,568017.7,2.283,647669.322,2.283,0.3103,0.6829,0.548,0.685,3.074,2.408,2.26,2.693,0
2001,2,609011.6,2.259,641209.215,2.259,0.3022,0.691,0.539,0.707,3.003,2.498,2.338,2.741,0.6
2001,3,647259.9,2.241,636617.027,2.241,0.3005,0.6927,0.515,0.712,3.074,2.561,2.388,2.721,1.7
2001,4,523524.6,2.231,634289.792,2.231,0.2994,0.6939,0.508,0.652,2.912,2.375,2.345,2.636,1.1
2001,5,471943,2.282,649094.837,2.282,0.3022,0.6914,0.494,0.653,2.931,2.438,2.325,2.65,1.1
2001,6,473599.5,2.278,648503.758,2.278,0.2981,0.6952,0.472,0.738,2.934,2.643,2.4,2.72,0
2001,7,464279,2.269,646520.846,2.269,0.2954,0.6978,0.474,0.662,2.919,2.559,2.362,2.782,0
2001,8,644089.5,2.299,655680.033,2.299,0.2901,0.7032,0.474,0.665,3.001,2.67,2.368,2.815,0
2001,9,824480.8,2.641,754121.125,2.641,0.3352,0.6581,0.573,0.7,2.793,2.29,2.03,2.562,0.4
2001,10,960890.4,2.66,759990.041,2.66,0.3459,0.6475,0.6,0.716,2.832,2.341,2.04,2.514,0.4
2001,11,856319.3,2.187,625292.841,2.187,0.3049,0.6875,0.689,0.756,3.151,2.175,1.855,2.694,0.6
2001,12,972495.5,2.169,620679.064,2.169,0.2939,0.6987,0.671,0.772,3.037,2.166,1.849,2.835,0.6
2002,1,526898.7,2.091,598693.655,2.091,0.2963,0.6962,0.697,0.738,3.016,1.994,1.783,2.754,0
2002,2,560179,2.054,588479.931,2.054,0.296,0.6964,0.703,0.735,3.089,2.112,1.865,2.735,0
2002,3,595596.7,2.061,590809.933,2.061,0.2923,0.7001,0.697,0.716,3.061,2.135,1.858,2.797,0.6
2002,4,502958.3,2.085,598190.822,2.085,0.2932,0.6992,0.689,0.721,3.067,2.123,1.828,2.798,0.6
2002,5,440877.8,2.064,592683.483,2.064,0.2935,0.6991,0.692,0.742,3.082,2.241,1.742,2.773,1.2
2002,6,409741.6,2.027,582677.899,2.027,0.2957,0.6967,0.677,0.746,3.078,2.167,1.758,2.579,0.6
2002,7,424164.6,2.047,588664.298,2.047,0.2933,0.6993,0.655,0.759,3.097,2.202,1.765,2.65,0
2002,8,580510.3,2.046,589103.655,2.046,0.2965,0.6961,0.656,0.782,3.033,2.467,1.846,2.708,0
2002,9,618447.7,2.022,582513.199,2.022,0.2983,0.6944,0.67,0.732,3.052,2.182,1.834,2.642,0
2002,10,727808.5,2.025,584073.037,2.025,0.2969,0.6959,0.672,0.752,2.984,2.177,1.803,2.677,0
2002,11,777943.3,2.005,578638.352,2.005,0.296,0.6964,0.676,0.766,3.08,2.345,1.861,2.839,0
2002,12,900876.8,2.014,581676.483,2.014,0.2969,0.6956,0.674,0.747,3.053,2.238,1.912,2.862,0.6
2003,1,520268.8,1.985,573690.931,1.985,0.2912,0.7006,0.7,0.781,3.076,2.503,1.943,2.833,0.6
2003,2,575799.7,2.039,589586.258,2.039,0.2967,0.6953,0.682,0.731,3.172,2.329,1.829,2.828,0
2003,3,608336.7,2.059,595640.024,2.059,0.2964,0.6958,0.678,0.775,3.048,2.376,1.887,2.759,1.2
2003,4,492719.8,2.011,582080.744,2.011,0.2938,0.6984,0.679,0.79,3.054,2.242,1.794,2.737,0.6
